title,ingredients,distinct_ingredients,num_ingredients,link,source
Jan'S Winter Soup,"[""2 Tbsp. butter"", ""2 medium onions, chopped"", ""1 lb. ground beef or turkey"", ""1 clove garlic, minced"", ""3 c. beef or chicken broth"", ""1 (28 oz.) can tomatoes, chopped"", ""1 c. diced potatoes"", ""3 carrots, chopped"", ""1 c. celery, chopped"", ""1 c. frozen green beans"", ""1 c. dry red wine"", ""1/2 tsp. basil"", ""1/4 tsp. thyme"", ""salt and pepper to taste""]","basil, beef, butter, carrots, celery, clove garlic, frozen green beans, ground beef, onions, potatoes, red wine, salt, thyme, tomatoes",14,www.cookbooks.com/Recipe-Details.aspx?id=51724,Gathered
Ranch Beef And Beans,"[""1 lb. cooked, crumbled hamburger (drained)"", ""1 c. onion, chopped"", ""1 c. kidney beans, cooked and drained"", ""1 c. butter beans"", ""1 c. baked beans"", ""3/4 c. ketchup"", ""1 sm. can mild green chilies, chopped (opt.)"", ""1 TBSP prepared mustard"", ""1 tsp. beef bouillon"", ""1/2 c. water"", ""2 TBSP. honey"", ""2/3 c. bell pepper, chopped"", ""1 tsp. Worcestershire sauce"", ""1/2 tsp. garlic pwd""]","beans, beef bouillon, bell pepper, butter beans, garlic, green chilies, hamburger, honey, ketchup, kidney beans, mustard, onion, water, worcestershire sauce",14,www.cookbooks.com/Recipe-Details.aspx?id=99285,Gathered
Italian Cream Cake,"[""1 stick margarine"", ""1/2 c. vegetable shortening"", ""2 c. sugar"", ""5 egg yolks"", ""2 c. flour"", ""1 tsp. soda"", ""1 c. buttermilk"", ""1 tsp. vanilla"", ""1 small can coconut"", ""1 c. nuts, chopped (pecans)"", ""5 egg whites, beaten"", ""1 (8 oz.) cream cheese"", ""1/2 stick margarine"", ""1 tsp. vanilla"", ""1 box powdered sugar"", ""1/2 c. chopped pecans""]","buttermilk, coconut, cream cheese, egg whites, egg yolks, flour, margarine, nuts, pecans, powdered sugar, soda, sugar, vanilla, vegetable shortening",14,www.cookbooks.com/Recipe-Details.aspx?id=420021,Gathered
Recipe For A Happy Marriage,"[""1 c. consideration"", ""2 c. flattery, carefully concealed"", ""2 c. praise"", ""1 pinch in-laws"", ""1 generous dash of cooperation"", ""1 c. contentment"", ""2 children (at least)"", ""1 c. blindness to faults of others"", ""2 c. milk of human kindness"", ""1 gal. faith in God and each other"", ""1 reasonable budget"", ""3 tsp. pure extract of I'm sorry"", ""1 c. confidence"", ""1 c. encouragement"", ""1 c. several hobbies""]","blindness to faults of others, children, confidence, consideration, contentment, encouragement, faith, flattery, generous, milk, praise, reasonable budget, several hobbies, sorry",14,www.cookbooks.com/Recipe-Details.aspx?id=395971,Gathered
"""Thrive On Five"" Bread","[""1 c. grated carrot and zucchini"", ""1/2 c. whole wheat flour, white flour and wheat germ"", ""1 egg"", ""1/4 c. oil"", ""1/2 c. crushed pineapple, drained"", ""1/2 c. applesauce"", ""1/4 c. brown sugar"", ""2 tsp. baking soda"", ""1 tsp. baking powder"", ""1/2 c. raisins"", ""1/3 c. molasses"", ""1/2 tsp. cinnamon"", ""1/4 tsp. cloves"", ""1/4 tsp. ginger""]","applesauce, baking powder, baking soda, brown sugar, carrot, cinnamon, cloves, egg, ginger, molasses, oil, pineapple, raisins, whole wheat flour",14,www.cookbooks.com/Recipe-Details.aspx?id=486732,Gathered
Hot Sour Soup,"[""4 c. chicken stock"", ""1/4 lb. pork, slivered"", ""4 dried mushrooms (pre-soaked)"", ""1/2 c. bamboo shoots"", ""10 shelled shrimp"", ""1 tsp. soy sauce"", ""1/2 tsp. sherry"", ""2 Tbsp. white vinegar"", ""1/2 tsp. white pepper"", ""1/2 soybean cake, cut in 1-inch cubes"", ""2 Tbsp. cornstarch, in 1/4 c. water"", ""2 eggs, slightly beaten"", ""1 tsp. sesame oil"", ""2 green onions with tops, cut in 1 1/2-inch lengths""]","bamboo shoots, chicken stock, cornstarch, eggs, green onions, mushrooms, pork, sesame oil, sherry, shrimp, soy sauce, soybean cake, white pepper, white vinegar",14,www.cookbooks.com/Recipe-Details.aspx?id=228998,Gathered
Guacamole Dip,"[""1 large ripe avocado"", ""1/4 c. mayonnaise"", ""1 green onion, minced"", ""1/4 tsp. garlic powder"", ""2 tsp. lemon juice"", ""1/4 tsp. chili powder"", ""chopped parsley"", ""1 c. Crisco"", ""2 Tbsp. castor oil"", ""2 Tbsp. mineral oil"", ""2 Tbsp. lanolin"", ""2 Tbsp. glycerine"", ""2 Tbsp. olive oil"", ""red food coloring (enough to make it a pretty pink)"", ""several drops of your favorite perfume""]","avocado, castor oil, chili powder, crisco, garlic powder, glycerine, green onion, lanolin, lemon juice, mayonnaise, mineral oil, olive oil, parsley, red food coloring",14,www.cookbooks.com/Recipe-Details.aspx?id=778238,Gathered
Happy Healthy Health Department,"[""1 c. loving kindness"", ""1/2 c. being nice to everyone"", ""1/8 c. faithful home health aides"", ""1/4 c. goodness for WIC/immunization clinics"", ""2/3c. cardiovascular disease detection"", ""1/8 c. social work for happy patients"", ""1/4 c. thankfulness to nurses for job well done"", ""1/4 c. understanding for Medicare billers, secretaries and bookkeeper"", ""3/4 c. environmental control involvement in our community"", ""1/8 c. animal control for peace in our community"", ""1/8 c. physical therapy for strengthening patients"", ""2 c. helpfulness"", ""3 c. respect for supervisors"", ""1/2 c. thanks/praise for transcribers"", ""3/4 c. healthy Moms/Kids and infection control"", ""3/4 c. heaping daily work, kept up-to-date""]","being nice, cardiovascular disease, community, daily work, health aides, helpfulness, immunization, infection, loving kindness, physical therapy for strengthening patients, supervisors, thankfulness, transcribers, understanding for medicare billers",14,www.cookbooks.com/Recipe-Details.aspx?id=484020,Gathered
"Best Melon, Mango, And Avocado Salad","[""1 small red onion, very thinly sliced"", ""2 tablespoons red wine vinegar"", ""1/2 cup freshly squeezed orange juice"", ""1 tablespoon grated orange zest"", ""2 teaspoons extra-virgin olive oil"", ""1/4 teaspoon kosher salt"", ""freshly ground black pepper"", ""2 cups small cantaloupe balls"", ""2 cups 1/2-inch diced seedless watermelon"", ""1 ripe mango, cut into 1/4-inch dice"", ""1 cup loosely packed cilantro leaves"", ""1 ripe Hass avocados"", ""1 tablespoon fresh lime juice"", ""6 thin lime slices""]","avocados, cantaloupe, cilantro, extra-virgin olive oil, freshly ground black pepper, freshly squeezed orange juice, kosher salt, lime juice, lime slices, mango, orange zest, red onion, red wine vinegar, seedless watermelon",14,www.allrecipes.com/recipe/218644/best-melon-mango-and-avocado-salad/,Gathered
Fruit And Cheese Platter,"[""fruit spread"", ""9 ounces dried figs, chopped"", ""2 1/2 ounces hazelnuts, chopped"", ""12 ounces apricot preserves"", ""fruit"", ""8 ounces grapes"", ""16 ounces strawberries"", ""3 pears"", ""2 oranges"", ""2 peaches"", ""7 ounces dried apricots"", ""8 ounces brie cheese"", ""8 ounces port wine, du salut"", ""8 ounces blue cheese"", ""1 French baguette"", ""64 whole wheat crackers""]","apricot preserves, apricots, baguette, blue cheese, brie cheese, fruit, fruit spread, grapes, hazelnuts, oranges, peaches, port wine, strawberries, whole wheat crackers",14,www.food.com/recipe/fruit-and-cheese-platter-483565,Gathered
